uid,icefall_name,ice_lat,ice_lon,station_id,station_name,source,dist_km,icefall_elev_m,elev_diff_m,has_temp,has_precip,has_rh_or_td
45,Herbstgold,46.9564,10.96579,SBAR2,Bartiges Bödele,LWD,1.4771882574866644,2231.56591796875,127.56591796875,TRUE,FALSE,TRUE
48,Venter Eisfall,46.8562,10.912953,SVVO2,Vorderegg,LWD,2.033790113604944,1933.7760009765625,-266.2239990234375,TRUE,FALSE,TRUE
11,Dripping Elegance,47.1259774436109,10.90943498613212,136,Umhausen,GeoSphere,2.080267585790425,1762.8399658203125,727.8399658203125,TRUE,TRUE,TRUE
40,Bachfalle,47.0853091899445,11.05938377038952,LBRE2,Breiter Grieskogel Schneestation,LWD,2.4303082080358513,2324.424072265625,-60.575927734375,TRUE,FALSE,TRUE
9,Golden Shower,47.1561161424866,10.90503940212572,136,Umhausen,GeoSphere,2.61137283738239,1097.0799560546875,62.0799560546875,TRUE,TRUE,TRUE
35,Hohe Brücke,46.90466546873662,10.96714095668882,SVVO1,Marchkofel,LWD,2.639328895406797,1693.031005859375,-846.968994140625,TRUE,FALSE,TRUE
10,Reichalm Fall,47.1632469882401,10.94194280853572,136,Umhausen,GeoSphere,2.8565943482996934,1613.6590576171875,578.6590576171875,TRUE,TRUE,TRUE
34,Namenlos,46.9733427069591,11.01845885910922,SBAR2,Bartiges Bödele,LWD,2.9464073776013056,1698.0860595703125,-405.9139404296875,TRUE,FALSE,TRUE
39,Kühlenkar Wasserfall,47.05703252335022,11.0561114753913,LBRE2,Breiter Grieskogel Schneestation,LWD,3.704707094551828,2126.97900390625,-258.02099609375,TRUE,FALSE,TRUE
27,Fritz Phantom,47.0066186721962,10.97372469883182,SGIG2,Giggijoch,LWD,3.7790263141992835,2495.14599609375,-36.85400390625,TRUE,FALSE,TRUE
12,Nachtfalter,47.1089370785004,10.95374477217682,136,Umhausen,GeoSphere,3.8562667417640264,1252.68896484375,217.68896484375,TRUE,TRUE,TRUE
42,Sevlstauda,47.1089370785004,10.95374477217682,136,Umhausen,GeoSphere,3.8562667417640264,1252.68896484375,217.68896484375,TRUE,TRUE,TRUE
6,Kalte Dusche,47.17457496454216,10.919581064889,136,Umhausen,GeoSphere,4.0037592639740724,1197.489990234375,162.489990234375,TRUE,TRUE,TRUE
7,Sibirien,47.17457496454216,10.919581064889,136,Umhausen,GeoSphere,4.0037592639740724,1197.489990234375,162.489990234375,TRUE,TRUE,TRUE
8,Vorsaison,47.17457496454216,10.919581064889,136,Umhausen,GeoSphere,4.0037592639740724,1197.489990234375,162.489990234375,TRUE,TRUE,TRUE
41,Wütenbach/Kaisers,46.9895421188549,11.02005819769692,SBAR2,Bartiges Bödele,LWD,4.144068354785282,1506.60595703125,-597.39404296875,TRUE,FALSE,TRUE
13,Spongebob,47.1011912487712,10.96701682789372,LBRE1,Breiter Grieskogel Windstation,LWD,4.245148965311503,1747.822021484375,-1534.177978515625,TRUE,FALSE,TRUE
26,Lucky Strike,47.0116226790093,10.96634325962282,SGIG2,Giggijoch,LWD,4.301633184019552,1772.574951171875,-759.425048828125,TRUE,FALSE,TRUE
38,Zwieselsteinf√§lle,46.9427642413614,11.03330060436392,SBAR2,Bartiges Bödele,LWD,4.346721336436884,1709.5970458984375,-394.4029541015625,TRUE,FALSE,TRUE
18,Esso Mixed,47.0700295231956,10.9715360162756,LBRE2,Breiter Grieskogel Schneestation,LWD,4.508584178985072,1203.1390380859375,-1181.8609619140625,TRUE,FALSE,TRUE
19,Badle,47.0700295231956,10.9715360162756,LBRE2,Breiter Grieskogel Schneestation,LWD,4.508584178985072,1203.1390380859375,-1181.8609619140625,TRUE,FALSE,TRUE
32,R√§tselburg,47.008157500174,10.99938127463742,SGIG2,Giggijoch,LWD,4.623848195730927,1481.4849853515625,-1050.5150146484375,TRUE,FALSE,TRUE
33,Freizeitstress,47.008157500174,10.99938127463742,SGIG2,Giggijoch,LWD,4.623848195730927,1481.4849853515625,-1050.5150146484375,TRUE,FALSE,TRUE
44,Gegenwind,47.008157500174,10.99938127463742,SGIG2,Giggijoch,LWD,4.623848195730927,1481.4849853515625,-1050.5150146484375,TRUE,FALSE,TRUE
2,Baselayer,47.1815794526614,10.92174323199762,136,Umhausen,GeoSphere,4.75188963691506,1357.6910400390625,322.6910400390625,TRUE,TRUE,TRUE
17,Mixed Klettergarten Liftspur,47.0828644756423,10.96371173858642,LBRE2,Breiter Grieskogel Schneestation,LWD,4.827897762395915,1190.5830078125,-1194.4169921875,TRUE,FALSE,TRUE
14,Drytooling Klettergarten,47.0984441317536,10.95780488466852,LBRE1,Breiter Grieskogel Windstation,LWD,4.951833220809555,1166.8260498046875,-2115.1739501953125,TRUE,FALSE,TRUE
36,Testgolla,47.0984441317536,10.95780488466852,LBRE1,Breiter Grieskogel Windstation,LWD,4.951833220809555,1166.8260498046875,-2115.1739501953125,TRUE,FALSE,TRUE
20,Burgsteiner Mixed,47.06117834841716,10.96930441837522,LBRE2,Breiter Grieskogel Schneestation,LWD,5.081028647657205,1338.0789794921875,-1046.9210205078125,TRUE,FALSE,TRUE
3,Zapfenstreich,47.1814643967453,10.9019658133816,136,Umhausen,GeoSphere,5.130325358390569,980.32098388671875,-54.67901611328125,TRUE,TRUE,TRUE
4,Zwei Welten,47.1814643967453,10.9019658133816,136,Umhausen,GeoSphere,5.130325358390569,980.32098388671875,-54.67901611328125,TRUE,TRUE,TRUE
46,Forsttechnik,47.01761,10.99537,SGIG2,Giggijoch,LWD,5.4149235498504575,1280.5679931640625,-1251.4320068359375,TRUE,FALSE,TRUE
21,Mixed Klettergebiet,47.0588395239538,10.96612868290162,LBRE2,Breiter Grieskogel Schneestation,LWD,5.42071049095133,1283.89697265625,-1101.10302734375,TRUE,FALSE,TRUE
22,Nordstau,47.0588395239538,10.96612868290162,LBRE2,Breiter Grieskogel Schneestation,LWD,5.42071049095133,1283.89697265625,-1101.10302734375,TRUE,FALSE,TRUE
23,Pokerface,47.0588395239538,10.96612868290162,LBRE2,Breiter Grieskogel Schneestation,LWD,5.42071049095133,1283.89697265625,-1101.10302734375,TRUE,FALSE,TRUE
24,New Life,47.0588395239538,10.96612868290162,LBRE2,Breiter Grieskogel Schneestation,LWD,5.42071049095133,1283.89697265625,-1101.10302734375,TRUE,FALSE,TRUE
1,Mannerschnitte,47.1878530948798,10.9144864657693,136,Umhausen,GeoSphere,5.527938289472713,946.551025390625,-88.448974609375,TRUE,TRUE,TRUE
47,Milchschnitte,47.1878530948798,10.9144864657693,136,Umhausen,GeoSphere,5.527938289472713,946.551025390625,-88.448974609375,TRUE,TRUE,TRUE
5,Mannerschnitte,47.1878530948798,10.9144864657693,136,Umhausen,GeoSphere,5.527938289472713,946.551025390625,-88.448974609375,TRUE,TRUE,TRUE
29,Taufenbachfall (ohne Vorhang),47.0218328378677,10.99564763968872,SGIG2,Giggijoch,LWD,5.856953138831921,1228.572021484375,-1303.427978515625,TRUE,FALSE,TRUE
30,Mühlgartenfall / Betonwerks√§ule,47.0218328378677,10.99564763968872,SGIG2,Giggijoch,LWD,5.856953138831921,1228.572021484375,-1303.427978515625,TRUE,FALSE,TRUE
31,Elfenbein,47.0218328378677,10.99564763968872,SGIG2,Giggijoch,LWD,5.856953138831921,1228.572021484375,-1303.427978515625,TRUE,FALSE,TRUE
43,Mammut Lex,47.0218328378677,10.99564763968872,SGIG2,Giggijoch,LWD,5.856953138831921,1228.572021484375,-1303.427978515625,TRUE,FALSE,TRUE
15,Triple Direkt,47.08694130389161,10.94041112688912,136,Umhausen,GeoSphere,5.879222753924952,1278.708984375,243.708984375,TRUE,TRUE,TRUE
37,Klettergarten Oberried - Eispark,47.0764601846772,10.94993127305052,LBRE2,Breiter Grieskogel Schneestation,LWD,5.9302526141952505,1173.43505859375,-1211.56494140625,TRUE,FALSE,TRUE
25,Via Ali,47.0604785852461,10.94324337917322,SLAG1,Agetwoad,LWD,6.2260035617797795,2002.720947265625,-327.279052734375,TRUE,FALSE,TRUE
16,Guillotine,47.0837119292643,10.94431400299072,LBRE1,Breiter Grieskogel Windstation,LWD,6.271028855599562,1177.373046875,-2104.626953125,TRUE,FALSE,TRUE
28,Waldesruh Ralley - Bichlfall,47.0279739096162,10.9950133810757,SGIG2,Giggijoch,LWD,6.480624492844334,1249.0179443359375,-1282.9820556640625,TRUE,FALSE,TRUE
